domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
denoised,43,150,1163,1313,0.8857578065498858,0.014424985116094463,0.8644200238142489
denoised,44,164,1104,1268,0.8706624605678234,0.013693193093867831,0.8781132169081167
denoised,45,142,987,1129,0.8742249778565102,0.012242012304028577,0.8903552292121453
denoised,46,120,950,1070,0.8878504672897196,0.011783091883310181,0.9021383210954554
denoised,47,95,849,944,0.899364406779661,0.010530363167295099,0.9126686842627505
denoised,48,77,777,854,0.9098360655737705,0.009637328835086327,0.9223060130978368
denoised,49,70,728,798,0.9122807017543859,0.009029569358999802,0.9313355824568366
denoised,50,72,618,690,0.8956521739130435,0.0076652113514586225,0.9390007938082952
denoised,51,55,622,677,0.9187592319054653,0.007714824369914665,0.9467156181782098
denoised,52,73,528,601,0.8785357737104825,0.006548918436197659,0.9532645366144075
denoised,53,57,454,511,0.8884540117416829,0.0056310775947608655,0.9588956142091684
denoised,54,49,462,511,0.9041095890410958,0.005730303631672951,0.9646259178408413
denoised,55,38,355,393,0.9033078880407125,0.004403155387973805,0.969029073228815
denoised,56,26,339,365,0.9287671232876712,0.004204703314149633,0.9732337765429647
denoised,57,34,294,328,0.8963414634146342,0.0036465568565191508,0.9768803333994839
denoised,58,27,223,250,0.892,0.0027659257789243896,0.9796462591784083
denoised,59,27,210,237,0.8860759493670886,0.0026046834689422505,0.9822509426473506
denoised,60,18,199,217,0.9170506912442397,0.0024682476681881327,0.9847191903155387
denoised,61,12,148,160,0.925,0.001835681682873586,0.9865548719984123
denoised,62,11,137,148,0.9256756756756757,0.0016992458821194682,0.9882541178805317
denoised,63,13,103,116,0.8879310344827587,0.001277535225243104,0.9895316531057748
denoised,64,13,105,118,0.8898305084745762,0.0013023417344711252,0.9908339948402459
denoised,65,14,86,100,0.86,0.0010666798968049216,0.9919006747370508
denoised,66,10,94,104,0.9038461538461539,0.0011659059337170074,0.9930665806707678
denoised,67,7,62,69,0.8985507246376812,0.0007690017860686644,0.9938355824568365
denoised,68,6,64,70,0.9142857142857143,0.0007938082952966859,0.9946293907521332
denoised,69,2,51,53,0.9622641509433962,0.0006325659853145465,0.9952619567374478
denoised,70,5,41,46,0.8913043478260869,0.0005085334391744394,0.9957704901766222
denoised,71,2,29,31,0.9354838709677419,0.00035969438380631076,0.9961301845604286
denoised,72,1,37,38,0.9736842105263158,0.0004589204207183965,0.996589104981147
denoised,73,2,24,26,0.9230769230769231,0.0002976781107362572,0.9968867830918832
denoised,74,4,22,26,0.8461538461538461,0.00027287160150823574,0.9971596546933914
denoised,75,0,28,28,1.0,0.00034729112919230004,0.9975069458225837
denoised,76,1,28,29,0.9655172413793104,0.00034729112919230004,0.997854236951776
denoised,77,1,19,20,0.95,0.00023566183766620362,0.9980898987894422
denoised,78,1,18,19,0.9473684210526315,0.0002232585830521929,0.9983131573724944
denoised,79,1,10,11,0.9090909090909091,0.00012403254614010717,0.9984371899186345
denoised,80,1,12,13,0.9230769230769231,0.0001488390553681286,0.9985860289740026
denoised,81,0,11,11,1.0,0.00013643580075411787,0.9987224647747567
denoised,82,0,18,18,1.0,0.0002232585830521929,0.9989457233578088
denoised,83,1,8,9,0.8888888888888888,9.922603691208574e-05,0.9990449493947209
denoised,84,1,10,11,0.9090909090909091,0.00012403254614010717,0.999168981940861
denoised,85,1,6,7,0.8571428571428571,7.44195276840643e-05,0.9992434014685451
denoised,86,1,10,11,0.9090909090909091,0.00012403254614010717,0.9993674340146852
denoised,87,0,7,7,1.0,8.682278229807501e-05,0.9994542567969833
denoised,88,0,6,6,1.0,7.44195276840643e-05,0.9995286763246674
denoised,89,0,1,1,1.0,1.2403254614010717e-05,0.9995410795792814
denoised,90,0,2,2,1.0,2.4806509228021434e-05,0.9995658860885094
denoised,91,1,5,6,0.8333333333333334,6.201627307005359e-05,0.9996279023615794
denoised,92,0,8,8,1.0,9.922603691208574e-05,0.9997271283984914
denoised,93,3,5,8,0.625,6.201627307005359e-05,0.9997891446715614
denoised,94,1,2,3,0.6666666666666666,2.4806509228021434e-05,0.9998139511807894
denoised,95,0,5,5,1.0,6.201627307005359e-05,0.9998759674538594
denoised,96,0,2,2,1.0,2.4806509228021434e-05,0.9999007739630874
denoised,97,1,4,5,0.8,4.961301845604287e-05,0.9999503869815435
denoised,98,0,3,3,1.0,3.720976384203215e-05,0.9999875967453855
denoised,99,0,1,1,1.0,1.2403254614010717e-05,0.9999999999999996
