domain,Th_learned,stage,status,peel,events,score_mean,score_q10,score_median,score_q90,score_margin_mean,score_margin_q10,score_margin_median,score_margin_q90,supported
denoised,8.0,duplicate_removal,fp_matched_cluster,11,2011,13.642136573791504,11.032835006713867,13.370294570922852,16.591949462890625,5.642136573791504,3.032835006713867,5.370294570922852,8.591949462890625,True
denoised,8.0,duplicate_removal,fp_matched_cluster,12,1938,13.162243843078612,10.7018404006958,12.872465133666992,15.971640586853027,5.1622438430786115,2.701840400695801,4.872465133666992,7.971640586853027,True
denoised,8.0,duplicate_removal,fp_matched_cluster,13,2006,12.851947784423828,10.616233825683594,12.543807983398438,15.554420471191406,4.851947784423828,2.6162338256835938,4.5438079833984375,7.554420471191406,True
denoised,8.0,duplicate_removal,fp_matched_cluster,14,2012,12.500448226928713,10.42368221282959,12.20102310180664,14.998234748840332,4.500448226928713,2.42368221282959,4.201023101806641,6.998234748840332,True
denoised,8.0,duplicate_removal,fp_matched_cluster,15,2032,12.132299423217772,10.149449348449709,11.839679718017578,14.49544906616211,4.132299423217772,2.149449348449709,3.839679718017578,6.495449066162109,True
denoised,8.0,duplicate_removal,fp_matched_cluster,16,2033,11.829022407531738,9.953612327575684,11.52661418914795,14.16908073425293,3.8290224075317383,1.9536123275756836,3.526614189147949,6.16908073425293,True
denoised,8.0,duplicate_removal,fp_matched_cluster,17,2017,11.523557662963867,9.860492706298828,11.302014350891112,13.49115753173828,3.523557662963867,1.8604927062988281,3.3020143508911115,5.4911575317382795,True
denoised,8.0,duplicate_removal,fp_matched_cluster,18,2018,11.264676094055176,9.644519805908203,11.03753662109375,13.134027481079102,3.264676094055176,1.6445198059082031,3.03753662109375,5.134027481079102,True
denoised,8.0,duplicate_removal,fp_matched_cluster,19,1951,11.015515327453612,9.51861572265625,10.812417984008787,12.768769264221191,3.0155153274536115,1.51861572265625,2.8124179840087873,4.768769264221191,True
denoised,8.0,duplicate_removal,fp_matched_cluster,20,1963,10.78276824951172,9.334440231323242,10.602912902832031,12.424985885620115,2.7827682495117205,1.3344402313232422,2.6029129028320312,4.424985885620115,True
denoised,8.0,duplicate_removal,fp_matched_cluster,21,1986,10.629436492919922,9.245737075805664,10.460545539855955,12.230402946472168,2.629436492919922,1.245737075805664,2.4605455398559553,4.230402946472168,True
denoised,8.0,duplicate_removal,fp_matched_cluster,22,1974,10.440425872802734,9.130002975463867,10.243888854980469,11.946008682250977,2.4404258728027344,1.1300029754638672,2.2438888549804688,3.9460086822509766,True
denoised,8.0,duplicate_removal,fp_matched_cluster,23,1924,10.217926025390623,9.012299537658691,10.01853847503662,11.715447425842283,2.2179260253906232,1.0122995376586914,2.0185384750366193,3.7154474258422834,True
denoised,8.0,duplicate_removal,fp_matched_cluster,24,1890,10.071859359741213,8.967934608459473,9.92719841003418,11.381712913513184,2.0718593597412127,0.9679346084594727,1.9271984100341797,3.3817129135131836,True
denoised,8.0,duplicate_removal,fp_matched_cluster,25,1811,9.93576717376709,8.787095069885254,9.813385009765623,11.211764335632324,1.9357671737670898,0.7870950698852539,1.8133850097656232,3.211764335632324,True
denoised,8.0,duplicate_removal,fp_matched_cluster,26,1842,9.817191123962402,8.755023956298828,9.647465705871582,11.076006889343262,1.8171911239624023,0.7550239562988281,1.647465705871582,3.0760068893432617,True
denoised,8.0,duplicate_removal,fp_matched_cluster,27,1842,9.688294410705566,8.650009155273438,9.56352424621582,10.854777336120604,1.6882944107055664,0.6500091552734375,1.5635242462158203,2.8547773361206037,True
denoised,8.0,duplicate_removal,fp_matched_cluster,28,1804,9.55778980255127,8.578862190246582,9.415531158447266,10.694522857666016,1.5577898025512695,0.578862190246582,1.4155311584472656,2.6945228576660156,True
denoised,8.0,duplicate_removal,fp_matched_cluster,29,1769,9.462414741516112,8.486983299255371,9.335001945495604,10.553322792053224,1.4624147415161115,0.4869832992553711,1.3350019454956037,2.5533227920532244,True
denoised,8.0,duplicate_removal,fp_matched_cluster,30,1792,9.34744930267334,8.454142570495605,9.235069274902344,10.388282775878906,1.3474493026733398,0.45414257049560547,1.2350692749023438,2.3882827758789062,True
