domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,background,,24866475,13.819024,11.933484,285,1.88554
raw_native,background,,24876899,10.278196,8.991799,44,1.286397
raw_native,background,,24886442,7.4504085,6.705365,326,0.7450433
raw_native,gt,337.0,24847319,15.877626,15.836037,26,0.041589737
raw_native,gt,664.0,24858696,11.507599,11.430196,217,0.07740307
raw_native,background,,24901177,8.077689,5.6921587,41,2.3855305
raw_native,background,,24904925,7.110126,6.518727,436,0.5913992
raw_native,background,,24911113,9.542418,9.023405,554,0.51901245
raw_native,background,,24925606,14.061306,6.1746254,178,7.8866806
raw_native,background,,24930867,5.408797,4.9066386,166,0.50215816
raw_native,background,,24936724,10.041439,8.562657,530,1.4787817
raw_native,background,,24936794,6.1782656,6.102775,397,0.075490475
raw_native,background,,24938198,8.360719,7.3665366,534,0.9941821
raw_native,background,,24938286,7.0581985,6.5386953,372,0.5195031
raw_native,background,,24940289,10.785638,7.6747694,193,3.1108685
raw_native,background,,24944139,14.474577,9.807962,10,4.6666145
raw_native,background,,24951318,6.7535315,5.956596,362,0.79693556
raw_native,background,,24959444,15.293042,15.054031,302,0.23901081
raw_native,gt,2143.0,24957176,26.577328,16.39747,124,10.179857
raw_native,gt,1143.0,24942815,13.83705,12.138523,143,1.6985273
raw_native,background,,24961957,7.6819267,7.4905524,479,0.1913743
raw_native,background,,24962817,6.322086,5.512319,285,0.80976677
